Province,Year,URL,Status
Tehran,1348,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1348/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Isfahan,1386,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1386/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1402,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1402/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Isfahan,1388,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1388/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1389,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1389/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1390,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1390/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1391,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1391/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Isfahan,1392,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1392/PropertyTypeID/615,"error:HTTPSConnectionPool(host='amar.org.ir', port=443): Read timed out. (read timeout=15)"
Tehran,1355,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1355/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
Tehran,1352,https://amar.org.ir/salnameh-amari/agentType/ViewSearch/CustomFieldIDs/65/SearchValues/1352/PropertyTypeID/615,parse_exception:'list' object has no attribute 'text'
